0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "PUT /sports/web/pdo/common/user/menu?_ts=153631942-6940121301-4 HTTP/1.1" 200 374 102 thd-6 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "PUT /sports/web/pdo/common/user/translations?_ts=153631942-6940121301-3 HTTP/1.1" 200 369 109 thd-5 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "GET /sports/static/vendor/spark/lib/spark.min.map HTTP/1.1" 200 54241 2 thd-10 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "GET /sports/static/vendor/kendo/styles/fonts/glyphs/WebComponentsIcons.ttf?gedxeo HTTP/1.1" 200 96492 8 thd-2 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "GET /sports/static/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160 5 thd-9 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "GET /sports/static/app/views/Home.js?_=1536319422060 HTTP/1.1" 200 486 3 thd-4 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "GET /sports/static/app/views/Home.html HTTP/1.1" 304 - 2 thd-8 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "GET /sports/static/kendo.messages.en-US.min.js.map HTTP/1.1" 404 1127 5 thd-7 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "GET /sports/static/kendo.culture.en-US.min.js.map HTTP/1.1" 404 1126 9 thd-3 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:43 +0300] "PUT /sports/web/pdo/common/user/session?_ts=153631942-6940121301-5 HTTP/1.1" 200 314 166 thd-1 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:24:01 +0300] "GET /sports/static/app/views/Widgets.js?_=1536319422061 HTTP/1.1" 200 9868 36 thd-8 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:24:01 +0300] "GET /sports/static/app/views/Widgets.html HTTP/1.1" 200 1046 12 thd-7 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:24:01 +0300] "GET /sports/static/app/common/SalesRepSearch.html HTTP/1.1" 200 1642 40 thd-3 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:24:01 +0300] "GET /sports/static/app/common/FileUpload.html HTTP/1.1" 200 1560 41 thd-1 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:24:01 +0300] "PUT /sports/web/pdo/common/user/session?_ts=153631942-6940121301-6 HTTP/1.1" 200 315 167 thd-6 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:24:01 +0300] "PUT /sports/web/pdo/common/locality/stateProvince?_ts=153631942-6940121301-7 HTTP/1.1" 200 552 94 thd-5 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:24:01 +0300] "GET /sports/static/vendor/kendo/styles/Default/loading.gif HTTP/1.1" 200 2218 7 thd-2 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
