0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:52 +0300] "PUT /sports/web/pdo/common/user/translations?_ts=153622751-4554789376-3 HTTP/1.1" 200 369 78 thd-4 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:52 +0300] "PUT /sports/web/pdo/common/user/menu?_ts=153622751-4554789376-4 HTTP/1.1" 200 374 79 thd-9 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:52 +0300] "GET /sports/static/vendor/kendo/styles/fonts/glyphs/WebComponentsIcons.ttf?gedxeo HTTP/1.1" 200 96492 4 thd-7 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:52 +0300] "GET /sports/static/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160 3 thd-8 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:52 +0300] "GET /sports/static/app/views/Home.js?_=1536227511620 HTTP/1.1" 200 486 2 thd-6 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:52 +0300] "GET /sports/static/app/views/Home.html HTTP/1.1" 200 785 1 thd-10 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:52 +0300] "PUT /sports/web/pdo/common/user/session?_ts=153622751-4554789376-5 HTTP/1.1" 200 313 181 thd-2 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:55 +0300] "GET /sports/static/app/views/EmployeeGridSPA.js?_=1536227511621 HTTP/1.1" 200 11877 5 thd-1 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:55 +0300] "GET /sports/static/app/views/EmployeeGridSPA.html HTTP/1.1" 200 1272 3 thd-3 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:55 +0300] "PUT /sports/web/pdo/common/user/session?_ts=153622751-4554789376-6 HTTP/1.1" 200 313 152 thd-5 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
