0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:04 +0300] "GET /sports/static/vendor/kendo/js/kendo.all.min.js HTTP/1.1" 200 3112566 127 thd-10 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:04 +0300] "GET /sports/static/assets/fonts/opensans/opensans-webfont.woff HTTP/1.1" 200 21080 2 thd-9 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:04 +0300] "GET /sports/static/vendor/kendo/js/cultures/kendo.culture.en-US.min.js?_=1535694244042 HTTP/1.1" 200 5483 2 thd-7 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:04 +0300] "GET /sports/static/vendor/kendo/js/messages/kendo.messages.en-US.min.js?_=1535694244043 HTTP/1.1" 200 26908 1 thd-6 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:04 +0300] "GET /sports/static/home.html?_ts=153569424-3332358831-1 HTTP/1.1" 200 40 2 thd-2 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:04 +0300] "GET /sports/static/app/common/Password.html HTTP/1.1" 304 - 1 thd-4 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:04 +0300] "GET /sports/static/app/common/Profile.html HTTP/1.1" 200 2012 1 thd-3 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:04 +0300] "GET /sports/static/vendor/kendo/styles/Default/loading-image.gif HTTP/1.1" 200 6138 5 thd-5 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:04 +0300] "GET /sports/web/pdo/common HTTP/1.1" 200 1633 147 thd-8 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:04 +0300] "GET /sports/web/pdo/system HTTP/1.1" 200 1672 151 thd-9 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:04 +0300] "GET /sports/web/pdo/personnel HTTP/1.1" 200 1228 190 thd-10 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:04 +0300] "GET /sports/web/pdo/ordering HTTP/1.1" 200 2075 193 thd-1 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:04 +0300] "POST /corticon/execute HTTP/1.1" 403 667 46 thd-7 -
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:04 +0300] "PUT /sports/web/pdo/common/user/session?_ts=153569424-3332358831-2 HTTP/1.1" 200 314 191 thd-6 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:04 +0300] "GET /sports/static/assets/js/local.strings.en-US.js?_=1535694244045 HTTP/1.1" 200 619 2 thd-2 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
