0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:26 +0300] "GET /sports/static/vendor/kendo/js/messages/kendo.messages.en-US.min.js?_=1535973925680 HTTP/1.1" 200 26908 4 thd-10 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:26 +0300] "GET /sports/static/vendor/kendo/js/cultures/kendo.culture.en-US.min.js?_=1535973925679 HTTP/1.1" 200 5483 9 thd-2 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:26 +0300] "GET /sports/static/home.html?_ts=153597392-1952502449-1 HTTP/1.1" 200 40 20 thd-4 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:26 +0300] "GET /sports/static/app/common/Profile.html HTTP/1.1" 200 2012 34 thd-7 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:26 +0300] "GET /sports/web/pdo/ordering HTTP/1.1" 200 2448 115 thd-5 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:26 +0300] "GET /sports/web/pdo/common HTTP/1.1" 200 1633 277 thd-9 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:30 +0300] "GET /sports/web/pdo/system HTTP/1.1" 200 1808 4210 thd-8 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:31 +0300] "GET /sports/web/pdo/personnel HTTP/1.1" 200 1228 5351 thd-1 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:31 +0300] "POST /corticon/execute HTTP/1.1" 403 667 169 thd-3 -
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:31 +0300] "PUT /sports/web/pdo/common/user/session?_ts=153597392-1952502449-2 HTTP/1.1" 200 313 196 thd-10 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:31 +0300] "GET /sports/static/assets/js/local.strings.en-US.js?_=1535973925682 HTTP/1.1" 200 619 2 thd-5 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:31 +0300] "PUT /sports/web/pdo/common/user/translations?_ts=153597392-1952502449-3 HTTP/1.1" 200 369 85 thd-2 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:31 +0300] "PUT /sports/web/pdo/common/user/menu?_ts=153597392-1952502449-4 HTTP/1.1" 200 374 124 thd-4 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:31 +0300] "GET /sports/static/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160 15 thd-6 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:31 +0300] "GET /sports/static/vendor/kendo/styles/fonts/glyphs/WebComponentsIcons.ttf?gedxeo HTTP/1.1" 200 96492 17 thd-7 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:31 +0300] "GET /sports/static/app/views/Home.js?_=1535973925683 HTTP/1.1" 200 486 13 thd-9 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:32 +0300] "PUT /sports/web/pdo/common/user/session?_ts=153597392-1952502449-5 HTTP/1.1" 200 313 118 thd-8 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:37 +0300] "GET /sports/web/pdo/ordering/errors HTTP/1.1" 200 267 67 thd-1 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:58 +0300] "GET /sports/web/pdo/ordering/errors HTTP/1.1" 302 - 5 thd-8 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:58 +0300] "GET /sports/static/login.html HTTP/1.1" 304 - 7 thd-6 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:58 +0300] "GET /sports/static/vendor/kendo/styles/kendo.bootstrap.min.css HTTP/1.1" 200 12324 9 thd-2 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:58 +0300] "GET /sports/static/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 7162 10 thd-1 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:58 +0300] "GET /sports/static/vendor/animate-css/animate.min.css HTTP/1.1" 200 4026 15 thd-7 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:58 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common-bootstrap.min.css HTTP/1.1" 200 39284 20 thd-4 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:58 +0300] "GET /sports/static/vendor/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 20027 20 thd-9 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:58 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common.min.css HTTP/1.1" 200 38603 36 thd-5 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:58 +0300] "GET /sports/static/assets/css/icon.css HTTP/1.1" 200 2277 6 thd-5 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:58 +0300] "GET /sports/static/vendor/jquery/dist/jquery.min.js HTTP/1.1" 200 97168 4 thd-3 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:58 +0300] "GET /sports/static/assets/css/app.css HTTP/1.1" 200 25597 11 thd-10 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:58 +0300] "GET /sports/static/vendor/psc/lib/progress.all.min.js HTTP/1.1" 200 271795 19 thd-6 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:58 +0300] "GET /sports/static/assets/img/logo.png HTTP/1.1" 200 54380 11 thd-6 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:58 +0300] "GET /sports/static/vendor/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 37051 15 thd-5 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:58 +0300] "GET /sports/static/vendor/spark/lib/spark.min.js HTTP/1.1" 200 27121 5 thd-4 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:58 +0300] "GET /sports/static/app/login.js HTTP/1.1" 200 12821 3 thd-9 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:58 +0300] "GET /sports/static/vendor/kendo/js/kendo.all.min.js HTTP/1.1" 200 3112566 131 thd-8 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:59 +0300] "GET /sports/static/vendor/kendo/js/cultures/kendo.culture.en-US.min.js?_=1535976958752 HTTP/1.1" 200 5483 4 thd-3 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:15:15:59 +0300] "GET /sports/static/assets/js/local.strings.en-US.js?_=1535976958754 HTTP/1.1" 200 619 2 thd-3 1FEEF9D9A7A536A68FDD328E42EDB455B4CE0F6D0D1A.SportsDemo
